32 5459.82 5331.94
48 7956.24 7472.76
64 10398.9 9404.25
96 15109.8 14729.9
128 43097.6 39192.1
192 29210.4 27621.8
256 40583.4 39156.8
384 58305.5 56241.5
512 70855.2 59618.4
768 102393 101604
1024 137681 133871
1536 163788 147416
2048 199425 188389
3072 246856 227251
4096 282016 278865
6144 324873 310295
8192 352769 352829
12288 387873 369196
16384 437186 530000
24576 826612 594729
32768 473762 547632
49152 905285 882017
65536 488291 476508
98304 913207 814577
131072 502961 616051
196608 862286 788567
262144 839644 692263
393216 887849 782314
524288 885059 788116
